Web Description,Bruteforce,DoS,insider,phishing,ransomware,Trojan,Web
"The covered entity (CE), Conway Medical Center, reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 34,828 individuals.  The ePHI involved included names, addresses, birthdates, Social Security numbers, claims information, and financial information. The CE notified HHS, affected individuals, the media, and posted substitute notification on its website.  Further, the CE provided complimentary credit monitoring services and set up a toll-free number for questions and concerns.  Following the breach, the CE sanctioned the responsible employee and implemented additional administrative and technical safeguards to better protect the privacy of its ePHI.  The CE also retrained its staff on the proper methods of identifying fraudulent email communications.  OCR provided the CE with technical assistance related to cybersecurity and the Security Rule requirement for risk analysis. OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Children’s Hope Alliance, discovered that it had been a victim of an email phishing incident. The CE has filed a corrected breach report concerning this incident, which is under investigation; therefore, this case is closed.",0,0,0,1,0,0,0
"Healthcare Administrative Partners, a business associate (BA), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 17,693 individuals.  The ePHI involved included names, addresses, birthdates, and diagnoses.  The BA notified HHS, affected individuals, the media, and provided a toll-free phone number for questions or concerns.  In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards to better protect its sensitive data.  The BA also retrained its staff on the proper methods of identifying fraudulent email communications.",0,0,0,1,0,0,0
"The covered entity (CE), Katherine Shaw Bethea Hospital, reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 3,983 individuals.  The ePHI involved included names, dates of birth, telephone numbers, health insurance information, diagnoses, and clinical information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. The CE also provided affected individuals with a toll-free hotline to call with questions or concerns. In response to the breach, the CE implemented additional administrative and technical safeguards and retrained its staff on recognizing and responding to fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Loudoun Medical Group, doing business as Comprehensive Sleep Care Center, reported that an employee was the victim of an email phishing scheme that affected the protected health information (PHI) of approximately 15,575 individuals. The PHI involved included names, addresses, birthdates, diagnoses, clinical information, and treatment information.   The CE notified HHS, affected individuals, the media, and also provided substitute notice.  In its mitigation efforts, the CE implemented additional technical safeguards and updated its security safeguards.",0,0,0,1,0,0,0
"The covered entity (CE), Choice Cancer Care, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of approximately 14,673 individuals.  The ePHI involved included names, dates of birth, drivers’ license numbers, Social Security numbers, claims information, diagnoses/conditions, and treatment information.  The CE notified HHS, affected individuals, and the media.  Following the incident, the CE improved technical and administrative safeguards, retrained staff, and updated the security within its email environment. OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Gateway Health Plan, the covered entity (CE), reported that numerous employees its business associate (BA), National Imaging Associates, Inc., were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 753 individuals.  The ePHI involved included names, member identification numbers, and treatment information.  In its mitigation efforts, the BA implemented additional technical safeguards and retrained its employees on the proper methods of identifying fraudulent email communications.  The CE provided complimentary credit monitoring services to all affected individuals.",0,0,0,1,0,0,0
"Starling Physicians, P.C., the covered entity (CE), reported that several workforce members were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 977 individuals.  The ePHI involved included names, birthdates, addresses, drivers’ license numbers, Social Security numbers, claims information, financial information, and clinical information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.  Complimentary credit monitoring services were provided to all affected individuals and a toll-free phone number was provided for question or concerns.  Following the breach, the CE implemented additional administrative and technical safeguards and retrained its staff on the proper methods of identifying and responding to fraudulent email communications.  OCR obtained assurances that the CE implemented the aforementioned corrective actions.",0,0,0,1,0,0,0
"Arizona Dental Insurance Services dba Delta Dental of Arizona, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of approximately 24,769 individuals.  The ePHI involved included names, dates of birth, addresses, Social Security numbers, health insurance information, drivers’ license numbers, other identifiers, financial information, and treatment information.  The CE notified HHS, affected individuals, the media, and provided complimentary credit and identity theft restoration services.  In addition, a toll-free phone number was set up for questions or concerns.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR provided technical assistance to the CE and obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Greater Cincinnati Pathologists, Inc., the covered entity (CE), reported that a physician was the victim of an email phishing attack affecting the protected health information (PHI) of 7,725 individuals.  The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, clinical information, and treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. The CE also provided free credit monitoring services to affected individuals.  In its mitigation efforts, the CE sanctioned the physician, implemented additional administrative safeguards to better protect its PHI, and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.

",0,0,0,1,0,0,0
"Self Regional Healthcare, the covered entity (CE), reported that it was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 52,327 individuals.  This ePHI involved included names, dates of birth, addresses, health insurance information, Social Security numbers, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE retrained its staff in the proper methods of recognizing and responding to fraudulent email communications.",0,0,0,1,0,0,0
"The covered entity (CE), Artesia General Hospital, reported that two workforce members were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of approximately 858 individuals.  The ePHI involved included names, addresses, phone numbers, health insurance information, and diagnoses.  The CE notified HHS, affected individuals, and the media.  The CE implemented additional administrative and technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Hamlin & Burton Liability Management, the business associate (BA), reported that one of its employees was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 1,565 individuals.  The ePHI involved included names, dates of birth, Social Security numbers, diagnoses, and other treatment information.  The BA notified HHS, affected individuals, and provided complimentary credit monitoring services to those affected. In its mitigation efforts, the BA implemented additional technical safeguards to better protect its ePHI.  OCR obtained assurances that the BA implemented the corrective actions noted. ",0,0,0,1,0,0,0
"The covered entity (CE), The Methodist Hospitals, Inc., reported that two of its employees were victims of an email phishing attack affecting the protected health information (PHI) of 68,039 individuals.  The PHI involved included names, dates of birth, Social Security numbers, drivers’ license information, passport numbers, financial information, health insurance information, diagnoses, lab results, and other treatment information.  The CE notified HHS, affected individuals, the media, and established a dedicated call center for questions or concerns.  The CE also offered credit monitoring and identity theft protection services to affected individuals.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The University of Alabama at Birmingham, the covered entity (CE), was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 19,557 individuals.  The ePHI involved included names, birthdates, diagnoses, Social Security numbers, medication prescribed, and clinical information.   The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  In its mitigation efforts, the CE sanctioned the responsible employee(s), implemented additional administrative and technical safeguards, and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Telecare Corporation, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 823 individuals.  The ePHI involved included names, birthdates, financial information, clinical information, and other treatment information.   After the breach, the CE sanctioned the workforce member responsible for the incident and retrained its staff on the proper methods of identifying fraudulent email communications.  The CE also implemented additional technical safeguards to better protect its ePHI.",0,0,0,1,0,0,0
"The covered entity (CE), Goshen Health System, Inc., reported that two of its employees were victims of an email phishing attack affecting the protected health information (PHI) of 9,160 individuals.  The PHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims information, diagnoses/conditions, lab results, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, the media, and established a call center for questions or concerns.  Goshen also provided complimentary credit monitoring and identity theft protection services for affected individuals.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Beatitudes Campus, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 5,316 individuals.  The ePHI involved included names, Social Security numbers, diagnoses, and conditions. The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring services and a toll-free phone number for questions or concerns.   In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards a retrained its staff.  During the investigation, OCR provided technical assistance to the CE and obtained assurances that the CE implemented the corrective actions.",0,0,0,1,0,0,0
"Calibre CPA Group, a business associate (BA), reported that several employees were the victims of an email phishing scheme that affected the protected health information (PHI) of 7,937 individuals.  The PHI involved included names and Social Security numbers. In its mitigation efforts, the BA implemented numerous administrative, technical, and security safeguards to better protect its sensitive data.  Calibre also retrained its staff on the proper methods of identifying fraudulent email communications.  During the investigation, OCR provided the BA with technical assistance on the provisions of the Breach Notification Rule.  OCR obtained assurances that the BA implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Kaiser Permanente in Oakland, California, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information of 990 individuals.  The ePHI involved included names, birthdates, gender, diagnoses, health insurance information, clinical information, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.   OCR provided technical assistance to the CE regarding the HIPAA Security Rule.",0,0,0,1,0,0,0
"The covered entity (CE), Paragon Health, P.C., reported that an employee was the victim of an email phishing attack.  The email account contained the protected health information (PHI) of 4,674 individuals.  The PHI involved included names, dates of birth, addresses, Social Security numbers, financial information, drivers’ license information, passport information, clinical information, lab results, and health insurance information.  The CE notified HHS, affected individuals, and the media.  The CE offered free credit monitoring services to affected individuals.  The CE also implemented technical safeguards to better protect its PHI and trained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Sweetser, reported that several employees were the victims of an email phishing attack that affected the electronic protected health information (ePHI) of 22,000 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims information, medical conditions, health insurance information, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided complimentary identity protection and credit monitoring services.  In response to the breach, the CE implemented additional policies and procedures to enhance their IT security infrastructure and provided additional security awareness training to its employees. OCR provided technical assistance to the CE and obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Pima County, reported that an employee of its business associate (BA) Ameritas, was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 1,498 individuals.  The ePHI involved included names, birthdates, and Social Security numbers.   In its mitigation efforts, the BA implemented additional technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.   The responsible employee was sanctioned and affected individuals were provided with complimentary credit monitoring services.

",0,0,0,1,0,0,0
"The covered entity (CE), UC Health, reported that several employees were the victims of an email phishing scheme.  This breach affected 95,339 individuals. The protected health information (PHI) involved included names, dates of birth, Social Security numbers, medications prescribed, and treatment information.  The CE notified HHS, affected individuals, the media, and posted a substitute notification on its website. The CE offered free credit monitoring services to all affected individuals and implemented additional administrative, technical, and security safeguards to further protect its PHI.  All staff were retrained.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"East Central Indiana School Trust, the covered entity (CE), reported that an employee was the victim of an email phishing scheme affecting 3,529 individuals.  The protected health information (PHI) involved included names, addresses, dates of birth, drivers’ license information, Social Security numbers, diagnoses, medications prescribed, and health insurance information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.  In its mitigation efforts, the CE implemented administrative and technical safeguards to better protect its PHI.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Fraser, reported that an employee was the victim of an email phishing scheme that affected the protected health information (PHI) of 2,890 individuals. The PHI involved included names, addresses, and treatment information.  The CE notified HHS, affected individuals, the media, and established a toll-free information line for all affected individuals.  Fraser also provided complimentary credit monitoring and identity theft protection services to all affected individuals, implemented additional administrative and technical safeguards to better protect its PHI, and trained all employees on methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The business associate (BA), Source 1 Healthcare Solutions, LLC, reported that an employee was the victim of an email phishing scheme that affected the protected health information (PHI) of 15,450 individuals.  The PHI involved included names, dates of birth, and diagnostic and treatment information.  The BA notified HHS, affected individuals, and the media.  Following the breach, the BA implemented additional technical and security safeguards to better protect its sensitive data.  Additionally, OCR confirmed that the business associate is addressing the risks discovered in its risk analysis that was performed after the discovery of this breach incident.",0,0,0,1,0,0,0
"The covered entity (CE), Artesia General Hospital, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 13,905 individuals.  The ePHI involved included names, birthdates, diagnoses, addresses, and Social Security numbers.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.   OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Lyons Company, reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 2,434 individuals.  The ePHI involved included names, addresses, Social Security numbers, drivers’ license numbers, health insurance information, treatment information, and financial information.  After the breach, the CE implemented additional technical and security safeguards to better protect its sensitive data.  Workforce members were trained on the proper methods for identifying fraudulent email communications.",0,0,0,1,0,0,0
"The covered entity (CE), Conway Regional Health System, reported that it was the victim of a cyber-attack involving an email phishing scheme that affected the electronic protected health information (ePHI) of approximately 37,000 individuals.  The ePHI involved included names, addresses, medications prescribed, health insurance information, and Social Security numbers.  The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring services.  Following this incident, the CE improved technical safeguards to its email environment.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The Carle Foundation Hospital, the covered entity (CE), reported that several employees were victims of an email phishing scheme.  The email accounts contained the protected health information (PHI) of 1,672 individuals.  The PHI involved included names, dates of birth, diagnoses/conditions, and treatment information.  The CE notified HHS, affected individuals, and the media.  The CE immediately implemented technical safeguards and trained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), University of Michigan-Michigan Medicine (Michigan Medicine), reported that an employee was the victim of an email phishing scheme affecting the protected health information (PHI) of 5,466 individuals.  The PHI involved included names, dates of birth, addresses, Social Security numbers, claims information, diagnoses/conditions, lab results, medications prescribed, and treatment information.  Michigan Medicine notified HHS, affected individuals, and the media.  The CE also implemented additional administrative, technical, and security safeguards to better protect its PHI.  Employees were retrained on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that Michigan Medicine implemented the corrective actions noted.     ",0,0,0,1,0,0,0
"The covered entity (CE), Community Psychiatric Clinic, reported that it was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 5,866 individuals.  The ePHI involved included names, Social Security numbers, addresses, birthdates, diagnoses/conditions, lab results, medications prescribed, claims information, and financial data.  The CE notified HHS, affected individuals, and the media.  After OCR’s investigation, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications and implemented additional technical safeguards. OCR obtained assurances that the CE implemented the corrective actions noted. ",0,0,0,1,0,0,0
"The covered entity (CE), Community Psychiatric Clinic, reported that it was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 6,641 individuals.  The ePHI involved included names, Social Security numbers, addresses, birthdates, diagnoses/conditions, lab results, medications prescribed, claims information, and financial data.  The CE notified HHS, affected individuals, and the media.  After OCR’s investigation, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications and implemented additional technical safeguards. OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Community Psychiatric Clinic, reported that it was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 3,030 individuals.  The ePHI involved included names, Social Security numbers, addresses, birthdates, diagnoses/conditions, lab results, medications prescribed, claims information, and financial data.  The CE notified HHS, affected individuals, and the media.  After OCR’s investigation, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications and implemented additional technical safeguards. OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Mid-Valley Behavioral Care Network, the business associate (BA) that coordinates mental health benefits for Willamette Valley Community Health, the covered entity (CE), reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 10,710 individuals.  The ePHI involved included names, addresses, phone numbers, birthdates, health insurance information, Social Security numbers, and clinical information.  The BA notified HHS, the CE, affected individuals, and the media.  Substitute notice was also provided.  Upon discovery of the breach, the BA implemented additional technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  During the investigation, OCR provided the BA with technical assistance regarding its security management processes. ",0,0,0,1,0,0,0
"Drexel Medicine, the covered entity (CE), reported that it was the victim of an email phishing scheme involving the electronic protected health information (ePHI) of approximately 19,750 individuals.  The ePHI involved included names, Social Security numbers, birthdates, diagnoses, and other treatment information.  In its mitigation efforts, the CE implemented additional technical safeguards to better protect its sensitive data.  Subsequently, Drexel Medicine has ceased operations.",0,0,0,1,0,0,0
"The covered entity (CE), Fordland Clinic, reported that an employee was the victim of a phishing attack that allowed an unauthorized individual access to an email account containing the protected health information (PHI) of 881 individuals.  The PHI involved included names, addresses, dates of birth, drivers’ license information, social security numbers, financial information, prescribed medications, diagnoses/conditions, and lab results. The CE notified HHS, affected individuals, and the media. Following the breach, the CE immediately implemented additional technical and administrative safeguards to further protect its PHI.  All employees received additional training regarding the risks associated with phishing and social engineering and ways to detect these schemes.  OCR obtained assurances that the CE implemented the corrective actions noted above.",0,0,0,1,0,0,0
"Perry County Medical Center dba Three Rivers Community Health Group, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 3,958 individuals.  The ePHI involved included names, birthdates, clinical information, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented new technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Hennepin Healthcare System, the covered entity (CE), reported that an employee of its business associate (BA), Nemadji, was the victim of an email phishing scheme.  This breach affected 814 individuals and the protected health information (PHI) involved included names, dates of birth, treatment information, and financial data.  The CE, in conjunction with the BA, notified HHS, affected individuals, the media, and provided substitute notice.  The CE also offered complimentary identity theft monitoring services.  ",0,0,0,1,0,0,0
"The covered entity (CE), Temple University Health System, reported that an employee of its business associate (BA), Nemadji Research Corporation, was the victim of an email phishing attack affecting 2,339 individuals.  The PHI involved included names, dates of birth, Social Security numbers, claims information, and treatment information. In its mitigation efforts, the CE and BA implemented additional technical safeguards to better protect its PHI.",0,0,0,1,0,0,0
"Northwood, Inc., a business associate (BA) of Blue Care Network and Blue Cross Blue Shield of Michigan, reported that an employee was the victim of an email phishing scheme that affected the protected health information (PHI) of approximately 18,684 individuals.  Of note, Northwood is a BA of Security Health Plan of Wisconsin whose PHI was also compromised as a result of this breach.  The PHI involved included names, addresses, dates of birth, health insurance information, and treatment information.  Northwood notified HHS, affected individuals, the media, and the FBI.  In its mitigation efforts, Northwood implemented additional administrative technical, and security safeguards to better protect its PHI.  OCR obtained assurances that Northwood implemented the corrective action noted.",0,0,0,1,0,0,0
"Associates in Dermatology, PLLC, the covered entity (CE), reported that an employee was the victim of an email phishing schemed that affected the electronic protected health information (ePHI) of 9,020 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, health insurance information, financial data, treatment information, medications prescribed, and diagnoses.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional technical and security safeguards and retrained its staff to better protect its sensitive data.  The responsible workforce member was sanctioned.  OCR obtained assurances that the CE implemented the aforementioned corrective actions.",0,0,0,1,0,0,0
"The covered entity (CE), Wise Health System, reported that employee(s) were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 127,088 individuals. The ePHI involved included names, dates of birth, addresses, and diagnoses. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE implemented additional technical safeguards to its email environment. The CE also retrained its workforce members on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Essentia Health-Duluth, the covered entity (CE), reported that an employee of its business associate (BA), Nemadji, was the victim of an email phishing scheme affecting 1,377 individuals.  The protected health information (PHI) involved included names, dates of birth, Social Security numbers, and health insurance information.  The CE, in conjunction with the BA, notified HHS, affected individuals, the media, and provided substitute.  Essential also offered complimentary identity theft monitoring services to all affected individuals. ",0,0,0,1,0,0,0
"St. Croix Hospice, the covered entity (CE), reported that several employees were the victims of an email phishing attack that affected the protected health information (PHI) of 21,407 individuals.  The PHI involved included names, addresses, dates of birth, drivers’ license information, Social Security numbers, claims information, financial information, diagnoses/condition, lab results, and medications prescribed.  The CE notified HHS, affected individuals, and the media.  The CE also notified state regulators as well as the major consumer reporting agencies.  As a result of the breach, the CE implemented additional technical safeguards to better protect its PHI.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Nemadji Research Corporation dba California Reimbursement Enterprises (Nemadji), a business associate (BA), reported that an employee was the victim of an email phishing scheme affecting 29,341 individuals.  The protected health information (PHI) involved included names, addresses, dates of birth, Social Security Numbers, claims information, health insurance information, and clinical data.  The BA notified HHS, affected individuals, the media, and established a toll free number for questions or concerns.  Nemadji also provided credit monitoring and identity theft protection services to affected individuals.  In its mitigation efforts, the BA implemented administrative and technical safeguards to better protect its data.  It also retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective measures noted.  ",0,0,0,1,0,0,0
"Alive Hospice, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 608 individuals.  The ePHI involved included names, dates of birth, Social Security numbers, health insurance information, and treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  The CE also offered one year of complimentary credit monitoring and identity restoration services to affected individuals.  In its mitigation efforts, the CE implemented additional technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.",0,0,0,1,0,0,0
"Mercy Health System Corporation (MHSC), the covered entity (CE), reported that an employee of its business associate (BA) was the victim of an email phishing scheme that affected 5,946 individuals.  The protected health information (PHI) involved included names, addresses, Social Security numbers, and treatment information.  The CE, in conjunction with the BA, notified HHS, affected individuals, the media, and offered complimentary identity theft monitoring services.  MHSC also provided substitute notice on its website. ",0,0,0,1,0,0,0
"Summa Health, the covered entity (CE), reported that several employees were the victims of an email phishing scheme that affected the protected health information (PHI) of 8,488 individuals.  The PHI involved included names, dates of birth, Social Security numbers, health insurance information, email addresses, diagnoses/conditions, medications prescribed, and treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff.   OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Summa Health, the covered entity (CE), reported that several employees were the victims of an email phishing scheme containing the protected health information (PHI) of 2,904 individuals.  The PHI involved included names, email addresses, medical record numbers, dates of birth, Social Security numbers, drivers’ license information, and financial data.  The CE notified HHS, affected individuals, the media, and provided substitute notice.  To mitigate the breach, the CE implemented administrative, technical, and security safeguards to better protect its data.  The CE also retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Addison County Home Health & Hospice, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 758 individuals.  The ePHI involved included names, birthdates, Social Security numbers, treatment information, and clinical information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative safeguards including revising its policies and procedures and retrained its staff.",0,0,0,1,0,0,0
"Community Physicians Group, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 10,862 individuals.  The ePHI involved included names and treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional technical and security safeguards and retrained its staff on the proper methods of recognizing and responding to fraudulent email communications.",0,0,0,1,0,0,0
"Community Healthlink, the covered entity (CE), reported that it was the victim of an email phishing scheme.  This breach affected 10,385 individuals. The protected health information (PHI) involved included names, dates of birth, social security numbers, client identification numbers, health insurance information, and treatment information.  Following the incident, the CE implemented additional technical and security safeguards.  The CE notified affected individuals, OCR, and the media of this breach incident.  OCR obtained assurances that the CE implemented the corrective actions noted above.",0,0,0,1,0,0,0
"CerpassRx, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 2,513 individuals.  The ePHI involved included names, birthdates, medications prescribed, and claims information. The CE notified HHS, affected individuals, and the media.  Following the breach, the CE implemented additional technical safeguards and provided training to its workforce members. OCR obtained assurances that CE implemented the aforementioned corrective actions.",0,0,0,1,0,0,0
"The business associate (BA), Huggins Insurance Services, reported that several employees were the victims of an email phishing scheme which affected the electronic protected health information (ePHI) of 5,725 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license information, Social Security numbers, claims information, financial data, and clinical information.  The BA notified HHS, affected individuals, and the media.  In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards and retrained its staff on the proper methods for identifying fraudulent email communications.   OCR provided technical assistance to the BA regarding the provisions of the HIPAA Security Rule.",0,0,0,1,0,0,0
"The covered entity (CE), Northwestern Health Sciences University (NHSU), reported that several employees were the victims of an email phishing attack.  This breach affected 1,198 individuals and the protected health information (PHI) involved included names, Social Security numbers, drivers’ license numbers, passport information, diagnostic information, treatment information, medications prescribed, and health insurance information.  The CE notified HHS, affected individuals, the media, and offered complimentary credit monitoring and identity theft services to all affected individuals.  In addition, the CE implemented additional administrative, technical, and security safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Hematology Oncology Associates, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 17,213 individuals.  The ePHI involved included names, addresses, birthdates, drivers’ license information, Social Security numbers, claims information, financial data, diagnoses/conditions, lab results, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff.  In response to OCR’s investigation, the CE implemented enhanced security measures, including implementing a new security environment and updating information security policies and procedures.  ",0,0,0,1,0,0,0
"Midwest Medical Center (MMC), the covered entity (CE), reported that an employee of its business associate (BA), OS, Inc., (OS), was the victim of an email phishing scheme that affected the protected health information (PHI) of 8,010 individuals.  The PHI involved included names, addresses, dates of birth, medical record numbers, and treatment information.  MMC notified HHS, the media, and posted substitute notice on its website.  MMC and OS notified affected individuals and offered complimentary fraud consultation and theft restoration services. The BA also trained its staff on the proper methods for identifying fraudulent email communications.",0,0,0,1,0,0,0
"Fort HeathCare, Inc., the covered entity (CE), reported that an employee of its business associate (BA), OS, Inc., was the victim of an email phishing scheme affecting 19,000 individuals.  The protected health information (PHI) involved included names, addresses, and Social Security numbers. The CE notified HHS, affected individuals, the media, and provided complimentary identity theft monitoring services.",0,0,0,1,0,0,0
"The covered entity (CE), Community Health Network, Inc., reported that several employees were the victims of email phishing schemes.  The email accounts contained the protected health information (PHI) of 6,600 individuals.  The PHI involved included names, dates of birth, Social Security numbers, insurance information, diagnoses/conditions, lab results, and medication information.  The CE notified HHS, affected individuals, and the media.  As a result of this breach, the CE implemented additional technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
